comment_text,status,is_seed
"Municipal service request times should be published by district.",approved,true
"Trash pickup schedules should include service alerts and delays.",approved,true
"Public transport reliability should be tracked and shared monthly.",approved,true
"Water outage notifications should be sent to residents in advance.",approved,true
"Permit applications should show clear processing milestones.",approved,true
"Emergency hotline response times should be audited publicly.",approved,true
"City maintenance should prioritize unsafe sidewalks and crossings.",approved,true
"Parks should have clear maintenance standards and timelines.",approved,true
"Municipal fees should be explained in plain language.",approved,true
"Online service portals should allow status tracking.",approved,true
"Call center wait times should be reduced with callback options.",approved,true
"Resident feedback surveys should be short and frequent.",approved,true
